"GEO_ID","NAME","S1501_C01_012E","ucgid"
"1400000US41051000101","Census Tract 1.01; Multnomah County; Oregon","1055","1400000US41051000101"
"1400000US41051000102","Census Tract 1.02; Multnomah County; Oregon","1091","1400000US41051000102"
"1400000US41051000201","Census Tract 2.01; Multnomah County; Oregon","945","1400000US41051000201"
"1400000US41051000202","Census Tract 2.02; Multnomah County; Oregon","1003","1400000US41051000202"
"1400000US41051000301","Census Tract 3.01; Multnomah County; Oregon","1129","1400000US41051000301"
"1400000US41051000302","Census Tract 3.02; Multnomah County; Oregon","1977","1400000US41051000302"
"1400000US41051000401","Census Tract 4.01; Multnomah County; Oregon","1093","1400000US41051000401"
"1400000US41051000402","Census Tract 4.02; Multnomah County; Oregon","951","1400000US41051000402"
"1400000US41051000501","Census Tract 5.01; Multnomah County; Oregon","1226","1400000US41051000501"
"1400000US41051000502","Census Tract 5.02; Multnomah County; Oregon","988","1400000US41051000502"
"1400000US41051000601","Census Tract 6.01; Multnomah County; Oregon","864","1400000US41051000601"
"1400000US41051000602","Census Tract 6.02; Multnomah County; Oregon","667","1400000US41051000602"
"1400000US41051000701","Census Tract 7.01; Multnomah County; Oregon","1184","1400000US41051000701"
"1400000US41051000702","Census Tract 7.02; Multnomah County; Oregon","1237","1400000US41051000702"
"1400000US41051000801","Census Tract 8.01; Multnomah County; Oregon","1191","1400000US41051000801"
"1400000US41051000802","Census Tract 8.02; Multnomah County; Oregon","1615","1400000US41051000802"
"1400000US41051000901","Census Tract 9.01; Multnomah County; Oregon","1347","1400000US41051000901"
"1400000US41051000902","Census Tract 9.02; Multnomah County; Oregon","1301","1400000US41051000902"
"1400000US41051001000","Census Tract 10; Multnomah County; Oregon","1535","1400000US41051001000"
"1400000US41051001101","Census Tract 11.01; Multnomah County; Oregon","979","1400000US41051001101"
"1400000US41051001102","Census Tract 11.02; Multnomah County; Oregon","488","1400000US41051001102"
"1400000US41051001202","Census Tract 12.02; Multnomah County; Oregon","899","1400000US41051001202"
"1400000US41051001203","Census Tract 12.03; Multnomah County; Oregon","990","1400000US41051001203"
"1400000US41051001204","Census Tract 12.04; Multnomah County; Oregon","1074","1400000US41051001204"
"1400000US41051001301","Census Tract 13.01; Multnomah County; Oregon","1592","1400000US41051001301"
"1400000US41051001302","Census Tract 13.02; Multnomah County; Oregon","1047","1400000US41051001302"
"1400000US41051001400","Census Tract 14; Multnomah County; Oregon","1987","1400000US41051001400"
"1400000US41051001500","Census Tract 15; Multnomah County; Oregon","1089","1400000US41051001500"
"1400000US41051001601","Census Tract 16.01; Multnomah County; Oregon","1698","1400000US41051001601"
"1400000US41051001602","Census Tract 16.02; Multnomah County; Oregon","1259","1400000US41051001602"
"1400000US41051001702","Census Tract 17.02; Multnomah County; Oregon","1119","1400000US41051001702"
"1400000US41051001703","Census Tract 17.03; Multnomah County; Oregon","1252","1400000US41051001703"
"1400000US41051001704","Census Tract 17.04; Multnomah County; Oregon","832","1400000US41051001704"
"1400000US41051001801","Census Tract 18.01; Multnomah County; Oregon","1038","1400000US41051001801"
"1400000US41051001802","Census Tract 18.02; Multnomah County; Oregon","1159","1400000US41051001802"
"1400000US41051001900","Census Tract 19; Multnomah County; Oregon","1304","1400000US41051001900"
"1400000US41051002001","Census Tract 20.01; Multnomah County; Oregon","846","1400000US41051002001"
"1400000US41051002002","Census Tract 20.02; Multnomah County; Oregon","1099","1400000US41051002002"
"1400000US41051002101","Census Tract 21.01; Multnomah County; Oregon","647","1400000US41051002101"
"1400000US41051002102","Census Tract 21.02; Multnomah County; Oregon","818","1400000US41051002102"
"1400000US41051002203","Census Tract 22.03; Multnomah County; Oregon","1371","1400000US41051002203"
"1400000US41051002303","Census Tract 23.03; Multnomah County; Oregon","1087","1400000US41051002303"
"1400000US41051002401","Census Tract 24.01; Multnomah County; Oregon","853","1400000US41051002401"
"1400000US41051002402","Census Tract 24.02; Multnomah County; Oregon","1218","1400000US41051002402"
"1400000US41051002501","Census Tract 25.01; Multnomah County; Oregon","1294","1400000US41051002501"
"1400000US41051002502","Census Tract 25.02; Multnomah County; Oregon","1436","1400000US41051002502"
"1400000US41051002600","Census Tract 26; Multnomah County; Oregon","981","1400000US41051002600"
"1400000US41051002701","Census Tract 27.01; Multnomah County; Oregon","740","1400000US41051002701"
"1400000US41051002702","Census Tract 27.02; Multnomah County; Oregon","1282","1400000US41051002702"
"1400000US41051002801","Census Tract 28.01; Multnomah County; Oregon","1107","1400000US41051002801"
"1400000US41051002802","Census Tract 28.02; Multnomah County; Oregon","955","1400000US41051002802"
"1400000US41051002901","Census Tract 29.01; Multnomah County; Oregon","1671","1400000US41051002901"
"1400000US41051002902","Census Tract 29.02; Multnomah County; Oregon","1456","1400000US41051002902"
"1400000US41051002903","Census Tract 29.03; Multnomah County; Oregon","718","1400000US41051002903"
"1400000US41051003000","Census Tract 30; Multnomah County; Oregon","1382","1400000US41051003000"
"1400000US41051003100","Census Tract 31; Multnomah County; Oregon","1416","1400000US41051003100"
"1400000US41051003200","Census Tract 32; Multnomah County; Oregon","1307","1400000US41051003200"
"1400000US41051003301","Census Tract 33.01; Multnomah County; Oregon","838","1400000US41051003301"
"1400000US41051003302","Census Tract 33.02; Multnomah County; Oregon","765","1400000US41051003302"
"1400000US41051003401","Census Tract 34.01; Multnomah County; Oregon","1116","1400000US41051003401"
"1400000US41051003402","Census Tract 34.02; Multnomah County; Oregon","1815","1400000US41051003402"
"1400000US41051003501","Census Tract 35.01; Multnomah County; Oregon","1452","1400000US41051003501"
"1400000US41051003502","Census Tract 35.02; Multnomah County; Oregon","956","1400000US41051003502"
"1400000US41051003601","Census Tract 36.01; Multnomah County; Oregon","1247","1400000US41051003601"
"1400000US41051003602","Census Tract 36.02; Multnomah County; Oregon","2168","1400000US41051003602"
"1400000US41051003603","Census Tract 36.03; Multnomah County; Oregon","500","1400000US41051003603"
"1400000US41051003701","Census Tract 37.01; Multnomah County; Oregon","1140","1400000US41051003701"
"1400000US41051003702","Census Tract 37.02; Multnomah County; Oregon","850","1400000US41051003702"
"1400000US41051003801","Census Tract 38.01; Multnomah County; Oregon","750","1400000US41051003801"
"1400000US41051003802","Census Tract 38.02; Multnomah County; Oregon","1065","1400000US41051003802"
"1400000US41051003803","Census Tract 38.03; Multnomah County; Oregon","1675","1400000US41051003803"
"1400000US41051003902","Census Tract 39.02; Multnomah County; Oregon","922","1400000US41051003902"
"1400000US41051003903","Census Tract 39.03; Multnomah County; Oregon","841","1400000US41051003903"
"1400000US41051003904","Census Tract 39.04; Multnomah County; Oregon","1010","1400000US41051003904"
"1400000US41051004002","Census Tract 40.02; Multnomah County; Oregon","912","1400000US41051004002"
"1400000US41051004003","Census Tract 40.03; Multnomah County; Oregon","1177","1400000US41051004003"
"1400000US41051004102","Census Tract 41.02; Multnomah County; Oregon","1253","1400000US41051004102"
"1400000US41051004103","Census Tract 41.03; Multnomah County; Oregon","639","1400000US41051004103"
"1400000US41051004104","Census Tract 41.04; Multnomah County; Oregon","455","1400000US41051004104"
"1400000US41051004200","Census Tract 42; Multnomah County; Oregon","1345","1400000US41051004200"
"1400000US41051004300","Census Tract 43; Multnomah County; Oregon","266","1400000US41051004300"
"1400000US41051004500","Census Tract 45; Multnomah County; Oregon","955","1400000US41051004500"
"1400000US41051004601","Census Tract 46.01; Multnomah County; Oregon","1046","1400000US41051004601"
"1400000US41051004602","Census Tract 46.02; Multnomah County; Oregon","591","1400000US41051004602"
"1400000US41051004700","Census Tract 47; Multnomah County; Oregon","1329","1400000US41051004700"
"1400000US41051004800","Census Tract 48; Multnomah County; Oregon","737","1400000US41051004800"
"1400000US41051004901","Census Tract 49.01; Multnomah County; Oregon","1421","1400000US41051004901"
"1400000US41051004902","Census Tract 49.02; Multnomah County; Oregon","585","1400000US41051004902"
"1400000US41051005001","Census Tract 50.01; Multnomah County; Oregon","1381","1400000US41051005001"
"1400000US41051005002","Census Tract 50.02; Multnomah County; Oregon","538","1400000US41051005002"
"1400000US41051005101","Census Tract 51.01; Multnomah County; Oregon","1311","1400000US41051005101"
"1400000US41051005102","Census Tract 51.02; Multnomah County; Oregon","980","1400000US41051005102"
"1400000US41051005103","Census Tract 51.03; Multnomah County; Oregon","530","1400000US41051005103"
"1400000US41051005201","Census Tract 52.01; Multnomah County; Oregon","603","1400000US41051005201"
"1400000US41051005202","Census Tract 52.02; Multnomah County; Oregon","946","1400000US41051005202"
"1400000US41051005500","Census Tract 55; Multnomah County; Oregon","696","1400000US41051005500"
"1400000US41051005601","Census Tract 56.01; Multnomah County; Oregon","673","1400000US41051005601"
"1400000US41051005602","Census Tract 56.02; Multnomah County; Oregon","165","1400000US41051005602"
"1400000US41051005701","Census Tract 57.01; Multnomah County; Oregon","130","1400000US41051005701"
"1400000US41051005702","Census Tract 57.02; Multnomah County; Oregon","1256","1400000US41051005702"
"1400000US41051005800","Census Tract 58; Multnomah County; Oregon","1276","1400000US41051005800"
"1400000US41051005901","Census Tract 59.01; Multnomah County; Oregon","799","1400000US41051005901"
"1400000US41051005902","Census Tract 59.02; Multnomah County; Oregon","1035","1400000US41051005902"
"1400000US41051005903","Census Tract 59.03; Multnomah County; Oregon","1202","1400000US41051005903"
"1400000US41051006001","Census Tract 60.01; Multnomah County; Oregon","561","1400000US41051006001"
"1400000US41051006002","Census Tract 60.02; Multnomah County; Oregon","727","1400000US41051006002"
"1400000US41051006100","Census Tract 61; Multnomah County; Oregon","809","1400000US41051006100"
"1400000US41051006200","Census Tract 62; Multnomah County; Oregon","1225","1400000US41051006200"
"1400000US41051006300","Census Tract 63; Multnomah County; Oregon","1460","1400000US41051006300"
"1400000US41051006402","Census Tract 64.02; Multnomah County; Oregon","1804","1400000US41051006402"
"1400000US41051006403","Census Tract 64.03; Multnomah County; Oregon","1061","1400000US41051006403"
"1400000US41051006404","Census Tract 64.04; Multnomah County; Oregon","951","1400000US41051006404"
"1400000US41051006501","Census Tract 65.01; Multnomah County; Oregon","1779","1400000US41051006501"
"1400000US41051006502","Census Tract 65.02; Multnomah County; Oregon","1489","1400000US41051006502"
"1400000US41051006601","Census Tract 66.01; Multnomah County; Oregon","986","1400000US41051006601"
"1400000US41051006602","Census Tract 66.02; Multnomah County; Oregon","1381","1400000US41051006602"
"1400000US41051006701","Census Tract 67.01; Multnomah County; Oregon","1005","1400000US41051006701"
"1400000US41051006702","Census Tract 67.02; Multnomah County; Oregon","986","1400000US41051006702"
"1400000US41051006801","Census Tract 68.01; Multnomah County; Oregon","501","1400000US41051006801"
"1400000US41051006802","Census Tract 68.02; Multnomah County; Oregon","1020","1400000US41051006802"
"1400000US41051006900","Census Tract 69; Multnomah County; Oregon","975","1400000US41051006900"
"1400000US41051007001","Census Tract 70.01; Multnomah County; Oregon","1688","1400000US41051007001"
"1400000US41051007002","Census Tract 70.02; Multnomah County; Oregon","924","1400000US41051007002"
"1400000US41051007100","Census Tract 71; Multnomah County; Oregon","553","1400000US41051007100"
"1400000US41051007201","Census Tract 72.01; Multnomah County; Oregon","425","1400000US41051007201"
"1400000US41051007202","Census Tract 72.02; Multnomah County; Oregon","845","1400000US41051007202"
"1400000US41051007300","Census Tract 73; Multnomah County; Oregon","44","1400000US41051007300"
"1400000US41051007400","Census Tract 74; Multnomah County; Oregon","753","1400000US41051007400"
"1400000US41051007500","Census Tract 75; Multnomah County; Oregon","1089","1400000US41051007500"
"1400000US41051007600","Census Tract 76; Multnomah County; Oregon","823","1400000US41051007600"
"1400000US41051007700","Census Tract 77; Multnomah County; Oregon","572","1400000US41051007700"
"1400000US41051007800","Census Tract 78; Multnomah County; Oregon","415","1400000US41051007800"
"1400000US41051007900","Census Tract 79; Multnomah County; Oregon","738","1400000US41051007900"
"1400000US41051008001","Census Tract 80.01; Multnomah County; Oregon","660","1400000US41051008001"
"1400000US41051008002","Census Tract 80.02; Multnomah County; Oregon","514","1400000US41051008002"
"1400000US41051008100","Census Tract 81; Multnomah County; Oregon","1147","1400000US41051008100"
"1400000US41051008201","Census Tract 82.01; Multnomah County; Oregon","626","1400000US41051008201"
"1400000US41051008203","Census Tract 82.03; Multnomah County; Oregon","666","1400000US41051008203"
"1400000US41051008204","Census Tract 82.04; Multnomah County; Oregon","94","1400000US41051008204"
"1400000US41051008301","Census Tract 83.01; Multnomah County; Oregon","713","1400000US41051008301"
"1400000US41051008302","Census Tract 83.02; Multnomah County; Oregon","657","1400000US41051008302"
"1400000US41051008400","Census Tract 84; Multnomah County; Oregon","638","1400000US41051008400"
"1400000US41051008500","Census Tract 85; Multnomah County; Oregon","455","1400000US41051008500"
"1400000US41051008600","Census Tract 86; Multnomah County; Oregon","484","1400000US41051008600"
"1400000US41051008700","Census Tract 87; Multnomah County; Oregon","1020","1400000US41051008700"
"1400000US41051008800","Census Tract 88; Multnomah County; Oregon","709","1400000US41051008800"
"1400000US41051008902","Census Tract 89.02; Multnomah County; Oregon","666","1400000US41051008902"
"1400000US41051008903","Census Tract 89.03; Multnomah County; Oregon","634","1400000US41051008903"
"1400000US41051008904","Census Tract 89.04; Multnomah County; Oregon","773","1400000US41051008904"
"1400000US41051009001","Census Tract 90.01; Multnomah County; Oregon","342","1400000US41051009001"
"1400000US41051009002","Census Tract 90.02; Multnomah County; Oregon","381","1400000US41051009002"
"1400000US41051009101","Census Tract 91.01; Multnomah County; Oregon","658","1400000US41051009101"
"1400000US41051009102","Census Tract 91.02; Multnomah County; Oregon","539","1400000US41051009102"
"1400000US41051009202","Census Tract 92.02; Multnomah County; Oregon","390","1400000US41051009202"
"1400000US41051009203","Census Tract 92.03; Multnomah County; Oregon","464","1400000US41051009203"
"1400000US41051009204","Census Tract 92.04; Multnomah County; Oregon","585","1400000US41051009204"
"1400000US41051009301","Census Tract 93.01; Multnomah County; Oregon","647","1400000US41051009301"
"1400000US41051009302","Census Tract 93.02; Multnomah County; Oregon","914","1400000US41051009302"
"1400000US41051009400","Census Tract 94; Multnomah County; Oregon","1358","1400000US41051009400"
"1400000US41051009501","Census Tract 95.01; Multnomah County; Oregon","599","1400000US41051009501"
"1400000US41051009502","Census Tract 95.02; Multnomah County; Oregon","670","1400000US41051009502"
"1400000US41051009603","Census Tract 96.03; Multnomah County; Oregon","238","1400000US41051009603"
"1400000US41051009604","Census Tract 96.04; Multnomah County; Oregon","579","1400000US41051009604"
"1400000US41051009605","Census Tract 96.05; Multnomah County; Oregon","557","1400000US41051009605"
"1400000US41051009606","Census Tract 96.06; Multnomah County; Oregon","391","1400000US41051009606"
"1400000US41051009701","Census Tract 97.01; Multnomah County; Oregon","196","1400000US41051009701"
"1400000US41051009703","Census Tract 97.03; Multnomah County; Oregon","400","1400000US41051009703"
"1400000US41051009704","Census Tract 97.04; Multnomah County; Oregon","353","1400000US41051009704"
"1400000US41051009801","Census Tract 98.01; Multnomah County; Oregon","330","1400000US41051009801"
"1400000US41051009803","Census Tract 98.03; Multnomah County; Oregon","671","1400000US41051009803"
"1400000US41051009804","Census Tract 98.04; Multnomah County; Oregon","230","1400000US41051009804"
"1400000US41051009903","Census Tract 99.03; Multnomah County; Oregon","1156","1400000US41051009903"
"1400000US41051009904","Census Tract 99.04; Multnomah County; Oregon","292","1400000US41051009904"
"1400000US41051009905","Census Tract 99.05; Multnomah County; Oregon","389","1400000US41051009905"
"1400000US41051009906","Census Tract 99.06; Multnomah County; Oregon","945","1400000US41051009906"
"1400000US41051009907","Census Tract 99.07; Multnomah County; Oregon","510","1400000US41051009907"
"1400000US41051010001","Census Tract 100.01; Multnomah County; Oregon","602","1400000US41051010001"
"1400000US41051010002","Census Tract 100.02; Multnomah County; Oregon","793","1400000US41051010002"
"1400000US41051010101","Census Tract 101.01; Multnomah County; Oregon","390","1400000US41051010101"
"1400000US41051010102","Census Tract 101.02; Multnomah County; Oregon","725","1400000US41051010102"
"1400000US41051010200","Census Tract 102; Multnomah County; Oregon","959","1400000US41051010200"
"1400000US41051010303","Census Tract 103.03; Multnomah County; Oregon","713","1400000US41051010303"
"1400000US41051010304","Census Tract 103.04; Multnomah County; Oregon","283","1400000US41051010304"
"1400000US41051010305","Census Tract 103.05; Multnomah County; Oregon","476","1400000US41051010305"
"1400000US41051010306","Census Tract 103.06; Multnomah County; Oregon","705","1400000US41051010306"
"1400000US41051010402","Census Tract 104.02; Multnomah County; Oregon","738","1400000US41051010402"
"1400000US41051010405","Census Tract 104.05; Multnomah County; Oregon","412","1400000US41051010405"
"1400000US41051010407","Census Tract 104.07; Multnomah County; Oregon","626","1400000US41051010407"
"1400000US41051010408","Census Tract 104.08; Multnomah County; Oregon","777","1400000US41051010408"
"1400000US41051010410","Census Tract 104.10; Multnomah County; Oregon","223","1400000US41051010410"
"1400000US41051010411","Census Tract 104.11; Multnomah County; Oregon","236","1400000US41051010411"
"1400000US41051010412","Census Tract 104.12; Multnomah County; Oregon","646","1400000US41051010412"
"1400000US41051010413","Census Tract 104.13; Multnomah County; Oregon","540","1400000US41051010413"
"1400000US41051010500","Census Tract 105; Multnomah County; Oregon","915","1400000US41051010500"
"1400000US41051010601","Census Tract 106.01; Multnomah County; Oregon","272","1400000US41051010601"
"1400000US41051010602","Census Tract 106.02; Multnomah County; Oregon","385","1400000US41051010602"
"1400000US41051980000","Census Tract 9800; Multnomah County; Oregon","0","1400000US41051980000"
